MaLich,MaCB,SoHieuMB,ThoiGianDi,ThoiGianDen,TrangThai
LB000302,CB000126,MB0077,2024-02-15 12:45:00,2024-02-15 17:14:00,Huy
LB000303,CB000112,MB0078,2024-02-27 04:30:00,2024-02-27 08:59:00,Huy
LB000304,CB000164,MB0061,2025-09-04 21:30:00,2025-09-05 02:02:00,Dung gio
LB000305,CB000449,MB0020,2025-11-07 16:15:00,2025-11-07 23:48:00,Dung gio
LB000306,CB000141,MB0010,2025-07-24 18:15:00,2025-07-25 05:26:00,Tre
LB000307,CB000285,MB0054,2024-02-18 11:45:00,2024-02-19 01:39:00,Huy
LB000308,CB000164,MB0073,2025-03-02 13:15:00,2025-03-02 18:52:00,Tre
LB000309,CB000095,MB0078,2025-07-04 15:15:00,2025-07-05 06:14:00,Dung gio
LB000310,CB000154,MB0091,2025-12-25 04:45:00,2025-12-25 06:14:00,Huy
LB000311,CB000212,MB0047,2025-07-24 16:15:00,2025-07-24 23:22:00,Dung gio
LB000312,CB000131,MB0024,2024-12-04 20:00:00,2024-12-05 04:10:00,Dung gio
LB000313,CB000048,MB0059,2024-07-14 01:30:00,2024-07-14 08:26:00,Huy
LB000314,CB000309,MB0005,2024-03-15 06:15:00,2024-03-15 14:55:00,Dung gio
LB000315,CB000446,MB0100,2024-12-06 09:00:00,2024-12-06 13:06:00,Dung gio
LB000316,CB000493,MB0077,2024-04-30 23:45:00,2024-05-01 04:23:00,Huy
LB000317,CB000361,MB0024,2025-02-10 07:30:00,2025-02-10 21:14:00,Dung gio
LB000318,CB000195,MB0052,2025-06-30 20:30:00,2025-07-01 02:15:00,Dung gio
LB000319,CB000185,MB0056,2025-05-24 14:00:00,2025-05-25 04:12:00,Tre
LB000320,CB000390,MB0090,2024-11-23 06:30:00,2024-11-23 12:20:00,Tre
LB000321,CB000024,MB0061,2024-08-14 23:15:00,2024-08-15 00:01:00,Dung gio
LB000322,CB000284,MB0062,2025-08-16 23:45:00,2025-08-17 05:17:00,Dung gio
LB000323,CB000101,MB0037,2024-08-23 12:15:00,2024-08-23 21:16:00,Huy
LB000324,CB000336,MB0071,2024-12-11 08:45:00,2024-12-11 21:35:00,Tre
LB000325,CB000236,MB0021,2024-12-26 05:15:00,2024-12-26 18:02:00,Huy
LB000326,CB000251,MB0022,2025-07-09 20:00:00,2025-07-10 05:26:00,Dung gio
LB000327,CB000430,MB0091,2024-03-17 21:00:00,2024-03-18 10:32:00,Dung gio
LB000328,CB000212,MB0017,2025-10-07 07:00:00,2025-10-07 19:34:00,Dung gio
LB000329,CB000005,MB0024,2025-06-01 14:30:00,2025-06-01 16:01:00,Huy
LB000330,CB000327,MB0070,2025-09-23 15:45:00,2025-09-23 16:31:00,Dung gio
LB000331,CB000273,MB0060,2025-02-25 00:00:00,2025-02-25 09:32:00,Dung gio
LB000332,CB000275,MB0031,2024-01-18 16:45:00,2024-01-19 07:00:00,Dung gio
LB000333,CB000055,MB0100,2024-04-08 16:15:00,2024-04-08 20:51:00,Dung gio
LB000334,CB000318,MB0057,2024-09-15 11:30:00,2024-09-16 01:34:00,Tre
LB000335,CB000041,MB0043,2025-02-19 14:15:00,2025-02-20 02:38:00,Dung gio
LB000336,CB000154,MB0071,2024-03-23 20:00:00,2024-03-23 22:05:00,Tre
LB000337,CB000195,MB0044,2025-07-19 15:00:00,2025-07-20 02:22:00,Dung gio
LB000338,CB000360,MB0021,2024-03-25 15:45:00,2024-03-26 03:15:00,Dung gio
LB000339,CB000290,MB0091,2024-04-07 16:00:00,2024-04-07 20:25:00,Dung gio
LB000340,CB000462,MB0092,2025-12-09 18:45:00,2025-12-09 23:52:00,Dung gio
LB000341,CB000474,MB0012,2025-12-01 08:00:00,2025-12-01 11:33:00,Dung gio
LB000342,CB000009,MB0024,2025-08-24 04:45:00,2025-08-24 06:33:00,Dung gio
LB000343,CB000084,MB0061,2024-09-03 18:45:00,2024-09-04 06:48:00,Huy
LB000344,CB000170,MB0044,2024-05-23 22:00:00,2024-05-24 07:02:00,Dung gio
LB000345,CB000028,MB0015,2025-03-23 07:00:00,2025-03-23 13:18:00,Huy
LB000346,CB000394,MB0064,2025-09-01 12:30:00,2025-09-01 13:30:00,Dung gio
LB000347,CB000402,MB0050,2025-05-17 07:30:00,2025-05-17 17:26:00,Tre
LB000348,CB000222,MB0022,2025-11-27 18:45:00,2025-11-27 20:42:00,Huy
LB000349,CB000152,MB0087,2024-09-09 22:00:00,2024-09-09 23:54:00,Dung gio
LB000350,CB000079,MB0044,2025-12-29 20:15:00,2025-12-30 09:22:00,Tre
LB000351,CB000163,MB0043,2024-04-19 02:00:00,2024-04-19 07:45:00,Tre
LB000352,CB000185,MB0078,2024-10-03 03:15:00,2024-10-03 05:14:00,Dung gio
LB000353,CB000221,MB0050,2025-07-24 17:45:00,2025-07-24 20:00:00,Dung gio
LB000354,CB000046,MB0041,2025-07-21 02:30:00,2025-07-21 17:44:00,Tre
LB000355,CB000007,MB0031,2025-02-27 12:00:00,2025-02-28 00:52:00,Huy
LB000356,CB000464,MB0026,2025-08-08 16:15:00,2025-08-09 04:26:00,Tre
LB000357,CB000087,MB0017,2024-10-02 09:30:00,2024-10-02 18:24:00,Dung gio
LB000358,CB000033,MB0021,2025-03-21 08:45:00,2025-03-21 14:21:00,Tre
LB000359,CB000401,MB0012,2025-01-04 08:15:00,2025-01-04 21:03:00,Tre
LB000360,CB000305,MB0064,2024-07-19 14:00:00,2024-07-19 16:48:00,Dung gio
LB000361,CB000004,MB0045,2024-12-06 19:45:00,2024-12-07 09:58:00,Dung gio
LB000362,CB000226,MB0037,2025-03-16 20:15:00,2025-03-17 01:52:00,Dung gio
LB000363,CB000309,MB0073,2024-07-24 15:30:00,2024-07-24 19:01:00,Tre
LB000364,CB000496,MB0033,2024-10-25 23:45:00,2024-10-26 10:04:00,Dung gio
LB000365,CB000167,MB0044,2024-10-14 12:30:00,2024-10-14 14:56:00,Huy
LB000366,CB000103,MB0062,2025-07-12 05:00:00,2025-07-12 17:54:00,Tre
LB000367,CB000483,MB0074,2024-08-02 14:30:00,2024-08-03 05:11:00,Dung gio
LB000368,CB000420,MB0091,2025-02-22 21:45:00,2025-02-23 00:37:00,Dung gio
LB000369,CB000124,MB0027,2025-11-05 04:45:00,2025-11-05 18:43:00,Tre
LB000370,CB000038,MB0050,2025-09-04 15:45:00,2025-09-05 01:22:00,Huy
LB000371,CB000473,MB0100,2025-12-09 13:00:00,2025-12-10 02:59:00,Dung gio
LB000372,CB000360,MB0096,2025-07-03 19:00:00,2025-07-03 21:21:00,Dung gio
LB000373,CB000337,MB0070,2024-12-29 05:00:00,2024-12-29 15:06:00,Tre
LB000374,CB000496,MB0078,2024-12-05 13:00:00,2024-12-05 13:40:00,Dung gio
LB000375,CB000133,MB0025,2025-06-06 23:15:00,2025-06-07 07:21:00,Dung gio
LB000376,CB000201,MB0052,2025-11-26 18:15:00,2025-11-27 00:38:00,Dung gio
LB000377,CB000248,MB0015,2024-10-29 13:00:00,2024-10-29 15:28:00,Dung gio
LB000378,CB000179,MB0032,2024-12-17 14:15:00,2024-12-17 23:38:00,Tre
LB000379,CB000179,MB0053,2024-04-09 14:45:00,2024-04-09 20:41:00,Dung gio
LB000380,CB000154,MB0005,2025-12-28 03:00:00,2025-12-28 17:59:00,Dung gio
LB000381,CB000332,MB0015,2025-11-24 05:15:00,2025-11-24 14:33:00,Dung gio
LB000382,CB000283,MB0021,2024-12-04 17:45:00,2024-12-05 02:08:00,Dung gio
LB000383,CB000409,MB0045,2025-10-06 05:15:00,2025-10-06 16:40:00,Tre
LB000384,CB000203,MB0002,2025-09-20 06:45:00,2025-09-20 17:21:00,Tre
LB000385,CB000200,MB0001,2025-12-22 06:15:00,2025-12-22 11:30:00,Dung gio
LB000386,CB000296,MB0015,2025-07-03 05:30:00,2025-07-03 11:33:00,Dung gio
LB000387,CB000235,MB0016,2024-09-25 21:45:00,2024-09-26 07:15:00,Dung gio
LB000388,CB000306,MB0044,2025-09-17 12:00:00,2025-09-17 18:26:00,Dung gio
LB000389,CB000433,MB0052,2025-09-24 05:30:00,2025-09-24 16:29:00,Huy
LB000390,CB000044,MB0071,2024-05-17 10:00:00,2024-05-17 14:34:00,Dung gio
LB000391,CB000060,MB0022,2025-01-17 22:15:00,2025-01-18 07:28:00,Tre
LB000392,CB000215,MB0063,2024-05-21 18:45:00,2024-05-22 02:28:00,Dung gio
LB000393,CB000250,MB0065,2025-07-04 22:15:00,2025-07-05 08:13:00,Dung gio
LB000394,CB000251,MB0031,2024-05-23 05:30:00,2024-05-23 20:22:00,Tre
LB000395,CB000318,MB0010,2025-01-02 00:45:00,2025-01-02 03:34:00,Dung gio
LB000396,CB000418,MB0044,2025-07-29 16:45:00,2025-07-30 00:13:00,Tre
LB000397,CB000213,MB0074,2025-03-30 15:15:00,2025-03-30 17:09:00,Huy
LB000398,CB000016,MB0084,2024-08-13 09:00:00,2024-08-13 14:11:00,Dung gio
LB000399,CB000276,MB0031,2024-06-21 14:45:00,2024-06-22 00:37:00,Huy
LB000400,CB000058,MB0061,2024-04-26 08:30:00,2024-04-26 18:15:00,Dung gio
LB000401,CB000390,MB0076,2025-03-27 17:15:00,2025-03-28 01:00:00,Dung gio
LB000402,CB000377,MB0090,2025-10-31 07:30:00,2025-10-31 22:55:00,Dung gio
LB000403,CB000231,MB0027,2024-12-22 02:45:00,2024-12-22 18:01:00,Dung gio
LB000404,CB000398,MB0087,2024-08-30 06:30:00,2024-08-30 21:41:00,Huy
LB000405,CB000324,MB0048,2024-06-18 19:15:00,2024-06-19 09:08:00,Dung gio
LB000406,CB000417,MB0024,2024-03-01 18:30:00,2024-03-02 04:05:00,Dung gio
LB000407,CB000306,MB0059,2024-06-21 10:30:00,2024-06-21 15:56:00,Huy
LB000408,CB000137,MB0091,2025-06-10 21:00:00,2025-06-10 23:48:00,Tre
LB000409,CB000471,MB0010,2024-10-10 20:15:00,2024-10-11 08:43:00,Dung gio
LB000410,CB000128,MB0020,2025-12-29 10:15:00,2025-12-29 23:44:00,Tre
LB000411,CB000251,MB0020,2025-08-14 20:30:00,2025-08-15 07:42:00,Tre
LB000412,CB000193,MB0050,2024-03-18 20:00:00,2024-03-19 03:22:00,Huy
LB000413,CB000384,MB0028,2025-12-12 11:45:00,2025-12-12 20:34:00,Dung gio
LB000414,CB000298,MB0001,2024-04-05 23:45:00,2024-04-06 11:05:00,Dung gio
LB000415,CB000436,MB0012,2025-07-01 12:15:00,2025-07-01 20:04:00,Dung gio
LB000416,CB000254,MB0028,2024-11-26 09:30:00,2024-11-26 19:20:00,Huy
LB000417,CB000067,MB0061,2025-05-11 10:00:00,2025-05-11 11:17:00,Dung gio
LB000418,CB000321,MB0084,2025-04-15 00:00:00,2025-04-15 15:08:00,Dung gio
LB000419,CB000226,MB0052,2024-01-01 13:15:00,2024-01-02 01:30:00,Dung gio
LB000420,CB000452,MB0067,2024-11-05 05:30:00,2024-11-05 07:35:00,Dung gio
LB000421,CB000129,MB0013,2025-01-15 21:15:00,2025-01-15 22:38:00,Tre
LB000422,CB000321,MB0032,2025-12-17 07:45:00,2025-12-17 19:26:00,Dung gio
LB000423,CB000361,MB0015,2024-01-02 06:45:00,2024-01-02 08:34:00,Dung gio
LB000424,CB000304,MB0025,2025-06-15 21:45:00,2025-06-15 22:24:00,Dung gio
LB000425,CB000357,MB0037,2024-05-03 13:15:00,2024-05-03 21:54:00,Dung gio
LB000426,CB000118,MB0044,2024-04-01 23:00:00,2024-04-02 01:15:00,Dung gio
LB000427,CB000189,MB0093,2024-11-02 04:45:00,2024-11-02 18:27:00,Dung gio
LB000428,CB000329,MB0071,2024-05-26 02:00:00,2024-05-26 12:54:00,Dung gio
LB000429,CB000226,MB0041,2024-08-06 20:15:00,2024-08-07 03:46:00,Huy
LB000430,CB000352,MB0050,2024-08-10 02:00:00,2024-08-10 04:53:00,Dung gio
LB000431,CB000302,MB0076,2025-01-28 11:45:00,2025-01-28 17:37:00,Dung gio
LB000432,CB000127,MB0028,2025-10-22 02:15:00,2025-10-22 12:11:00,Huy
LB000433,CB000308,MB0076,2025-09-14 09:00:00,2025-09-14 23:58:00,Dung gio
LB000434,CB000106,MB0057,2025-09-13 16:15:00,2025-09-14 05:30:00,Tre
LB000435,CB000152,MB0067,2024-02-25 07:45:00,2024-02-25 14:50:00,Dung gio
LB000436,CB000124,MB0054,2025-10-15 19:00:00,2025-10-16 04:30:00,Dung gio
LB000437,CB000185,MB0033,2024-05-15 12:45:00,2024-05-15 19:29:00,Huy
LB000438,CB000350,MB0022,2025-04-27 02:00:00,2025-04-27 12:31:00,Dung gio
LB000439,CB000008,MB0027,2024-08-08 01:00:00,2024-08-08 14:58:00,Tre
LB000440,CB000260,MB0031,2025-10-05 22:45:00,2025-10-06 06:28:00,Tre
LB000441,CB000043,MB0065,2025-07-03 17:15:00,2025-07-03 22:29:00,Dung gio
LB000442,CB000159,MB0013,2025-06-07 06:15:00,2025-06-07 15:54:00,Dung gio
LB000443,CB000201,MB0062,2025-10-11 20:00:00,2025-10-12 01:47:00,Tre
LB000444,CB000374,MB0091,2024-09-01 01:15:00,2024-09-01 03:13:00,Tre
LB000445,CB000060,MB0052,2025-09-18 19:00:00,2025-09-19 00:46:00,Dung gio
LB000446,CB000062,MB0001,2025-12-25 04:00:00,2025-12-25 07:17:00,Tre
LB000447,CB000488,MB0041,2025-06-19 16:30:00,2025-06-19 19:50:00,Dung gio
LB000448,CB000065,MB0077,2024-10-02 23:00:00,2024-10-03 12:39:00,Dung gio
LB000449,CB000172,MB0087,2025-03-15 08:00:00,2025-03-15 12:59:00,Huy
LB000450,CB000322,MB0012,2025-05-23 14:30:00,2025-05-23 15:56:00,Tre
LB000451,CB000440,MB0061,2024-06-19 11:15:00,2024-06-19 16:06:00,Dung gio
LB000452,CB000458,MB0061,2025-11-21 23:00:00,2025-11-22 03:23:00,Huy
LB000453,CB000002,MB0005,2024-01-13 07:00:00,2024-01-13 15:33:00,Dung gio
LB000454,CB000197,MB0100,2024-06-02 05:00:00,2024-06-02 14:56:00,Tre
LB000455,CB000115,MB0033,2024-09-11 13:30:00,2024-09-11 18:37:00,Dung gio
LB000456,CB000293,MB0043,2024-05-02 16:00:00,2024-05-02 19:33:00,Dung gio
LB000457,CB000412,MB0057,2024-02-17 12:00:00,2024-02-18 03:28:00,Tre
LB000458,CB000444,MB0031,2024-11-14 10:00:00,2024-11-14 19:56:00,Tre
LB000459,CB000005,MB0043,2024-07-24 09:30:00,2024-07-24 22:37:00,Huy
LB000460,CB000125,MB0052,2025-01-12 18:45:00,2025-01-13 08:26:00,Dung gio
LB000461,CB000376,MB0096,2025-07-13 07:15:00,2025-07-13 07:51:00,Tre
LB000462,CB000013,MB0025,2025-07-08 11:00:00,2025-07-08 17:13:00,Dung gio
LB000463,CB000389,MB0070,2025-01-20 23:30:00,2025-01-21 01:46:00,Dung gio
LB000464,CB000272,MB0026,2025-03-05 15:00:00,2025-03-05 17:55:00,Dung gio
LB000465,CB000048,MB0005,2024-08-25 16:45:00,2024-08-26 05:12:00,Dung gio
LB000466,CB000235,MB0077,2024-03-27 18:00:00,2024-03-28 03:07:00,Dung gio
LB000467,CB000327,MB0089,2025-02-07 02:00:00,2025-02-07 09:55:00,Dung gio
LB000468,CB000122,MB0031,2024-09-24 10:45:00,2024-09-24 23:12:00,Dung gio
LB000469,CB000163,MB0050,2024-10-05 07:00:00,2024-10-05 10:57:00,Dung gio
LB000470,CB000400,MB0081,2025-08-21 03:15:00,2025-08-21 05:33:00,Dung gio
LB000471,CB000231,MB0052,2024-11-17 13:00:00,2024-11-17 22:38:00,Dung gio
LB000472,CB000494,MB0081,2024-07-31 14:30:00,2024-07-31 22:54:00,Dung gio
LB000473,CB000437,MB0016,2024-04-02 05:30:00,2024-04-02 20:06:00,Huy
LB000474,CB000021,MB0024,2024-12-01 04:00:00,2024-12-01 16:38:00,Dung gio
LB000475,CB000496,MB0041,2025-02-09 16:00:00,2025-02-10 04:03:00,Dung gio
LB000476,CB000134,MB0089,2024-06-27 00:45:00,2024-06-27 15:50:00,Tre
LB000477,CB000285,MB0077,2025-07-17 07:00:00,2025-07-17 15:23:00,Dung gio
LB000478,CB000412,MB0084,2024-05-23 03:00:00,2024-05-23 04:33:00,Dung gio
LB000479,CB000067,MB0023,2025-02-14 11:00:00,2025-02-14 21:26:00,Huy
LB000480,CB000133,MB0100,2024-03-17 00:00:00,2024-03-17 03:52:00,Tre
LB000481,CB000415,MB0017,2024-04-04 10:00:00,2024-04-04 11:13:00,Tre
LB000482,CB000026,MB0021,2025-08-10 13:45:00,2025-08-10 22:43:00,Dung gio
LB000483,CB000196,MB0071,2025-03-12 05:30:00,2025-03-12 09:39:00,Dung gio
LB000484,CB000141,MB0028,2025-04-01 04:00:00,2025-04-01 14:58:00,Huy
LB000485,CB000316,MB0026,2025-10-24 09:45:00,2025-10-24 17:16:00,Huy
LB000486,CB000246,MB0010,2024-03-30 08:45:00,2024-03-30 11:35:00,Tre
LB000487,CB000103,MB0067,2025-06-22 07:00:00,2025-06-22 14:01:00,Dung gio
LB000488,CB000246,MB0059,2025-05-11 11:30:00,2025-05-11 18:37:00,Dung gio
LB000489,CB000093,MB0002,2024-11-22 19:15:00,2024-11-22 20:15:00,Dung gio
LB000490,CB000030,MB0087,2025-04-28 16:30:00,2025-04-29 06:05:00,Huy
LB000491,CB000120,MB0021,2024-04-12 07:15:00,2024-04-12 12:17:00,Huy
LB000492,CB000418,MB0084,2024-02-27 07:45:00,2024-02-27 14:18:00,Dung gio
LB000493,CB000091,MB0026,2025-08-29 10:30:00,2025-08-29 21:05:00,Dung gio
LB000494,CB000361,MB0073,2024-12-26 18:15:00,2024-12-27 04:21:00,Dung gio
LB000495,CB000429,MB0087,2025-05-19 17:30:00,2025-05-19 20:59:00,Tre
LB000496,CB000020,MB0013,2024-02-27 07:15:00,2024-02-27 08:05:00,Huy
LB000497,CB000245,MB0001,2024-12-05 19:15:00,2024-12-06 09:30:00,Dung gio
LB000498,CB000175,MB0074,2024-06-30 10:00:00,2024-06-30 10:52:00,Dung gio
LB000499,CB000301,MB0074,2024-05-25 03:30:00,2024-05-25 05:14:00,Dung gio
LB000500,CB000361,MB0070,2025-02-09 18:00:00,2025-02-10 00:14:00,Dung gio
LB000501,CB000166,MB0017,2024-06-10 23:45:00,2024-06-11 13:45:00,Tre
LB000502,CB000333,MB0033,2024-06-27 22:30:00,2024-06-28 02:48:00,Huy
LB000503,CB000418,MB0022,2025-01-22 09:30:00,2025-01-22 12:10:00,Dung gio
LB000504,CB000374,MB0001,2025-12-19 18:45:00,2025-12-20 09:46:00,Huy
LB000505,CB000017,MB0022,2025-09-08 10:15:00,2025-09-08 21:39:00,Huy
LB000506,CB000054,MB0054,2024-05-24 10:00:00,2024-05-24 14:33:00,Dung gio
LB000507,CB000164,MB0021,2025-10-13 02:30:00,2025-10-13 10:37:00,Dung gio
LB000508,CB000136,MB0024,2024-09-12 22:00:00,2024-09-13 04:28:00,Dung gio
LB000509,CB000403,MB0015,2024-01-02 01:45:00,2024-01-02 09:43:00,Tre
LB000510,CB000497,MB0021,2025-02-27 15:45:00,2025-02-27 22:14:00,Huy
LB000511,CB000193,MB0015,2025-05-05 18:15:00,2025-05-05 21:31:00,Tre
LB000512,CB000038,MB0087,2024-02-04 09:00:00,2024-02-04 14:56:00,Dung gio
LB000513,CB000488,MB0015,2024-03-16 10:15:00,2024-03-17 01:54:00,Tre
LB000514,CB000083,MB0076,2024-03-17 17:00:00,2024-03-17 23:16:00,Huy
LB000515,CB000315,MB0096,2025-05-09 22:00:00,2025-05-10 05:51:00,Dung gio
LB000516,CB000311,MB0093,2025-03-20 05:00:00,2025-03-20 07:13:00,Dung gio
LB000517,CB000106,MB0023,2025-02-23 22:30:00,2025-02-24 10:16:00,Dung gio
LB000518,CB000153,MB0026,2024-04-08 01:45:00,2024-04-08 12:00:00,Huy
LB000519,CB000431,MB0054,2024-06-06 01:30:00,2024-06-06 02:03:00,Tre
LB000520,CB000045,MB0031,2025-11-08 20:45:00,2025-11-09 00:39:00,Dung gio
LB000521,CB000014,MB0024,2024-06-23 20:30:00,2024-06-23 22:23:00,Tre
LB000522,CB000433,MB0016,2024-11-11 12:45:00,2024-11-11 21:35:00,Dung gio
LB000523,CB000047,MB0067,2025-07-11 12:15:00,2025-07-11 19:04:00,Tre
LB000524,CB000190,MB0022,2025-04-01 01:30:00,2025-04-01 09:30:00,Tre
LB000525,CB000135,MB0025,2024-10-02 18:00:00,2024-10-02 21:04:00,Dung gio
LB000526,CB000044,MB0070,2024-12-18 17:45:00,2024-12-19 07:09:00,Huy
LB000527,CB000117,MB0060,2024-03-03 12:45:00,2024-03-03 22:23:00,Tre
LB000528,CB000294,MB0093,2024-08-29 15:30:00,2024-08-29 17:20:00,Tre
LB000529,CB000463,MB0091,2024-02-05 16:15:00,2024-02-05 18:48:00,Tre
LB000530,CB000089,MB0021,2024-08-04 06:15:00,2024-08-04 07:28:00,Tre
LB000531,CB000041,MB0071,2025-03-21 06:15:00,2025-03-21 20:59:00,Huy
LB000532,CB000133,MB0033,2024-03-09 02:45:00,2024-03-09 12:44:00,Tre
LB000533,CB000283,MB0033,2024-10-09 16:45:00,2024-10-10 08:09:00,Dung gio
LB000534,CB000403,MB0073,2025-09-30 18:45:00,2025-09-30 21:10:00,Tre
LB000535,CB000077,MB0020,2025-08-03 18:00:00,2025-08-03 20:18:00,Huy
LB000536,CB000400,MB0015,2024-10-19 17:30:00,2024-10-20 08:58:00,Tre
LB000537,CB000136,MB0044,2025-11-01 15:45:00,2025-11-01 16:53:00,Dung gio
LB000538,CB000142,MB0045,2024-05-27 19:45:00,2024-05-27 20:54:00,Tre
LB000539,CB000456,MB0093,2024-12-05 22:15:00,2024-12-05 23:35:00,Tre
LB000540,CB000472,MB0028,2025-01-16 00:30:00,2025-01-16 14:57:00,Dung gio
LB000541,CB000160,MB0028,2025-05-18 22:00:00,2025-05-19 13:19:00,Dung gio
LB000542,CB000069,MB0032,2025-03-29 10:30:00,2025-03-29 23:26:00,Tre
LB000543,CB000310,MB0067,2024-04-01 06:45:00,2024-04-01 10:51:00,Tre
LB000544,CB000380,MB0054,2025-06-12 11:00:00,2025-06-12 20:17:00,Dung gio
LB000545,CB000034,MB0032,2025-12-27 16:45:00,2025-12-27 19:33:00,Huy
LB000546,CB000451,MB0061,2024-01-30 05:15:00,2024-01-30 20:41:00,Dung gio
LB000547,CB000429,MB0010,2024-09-12 01:45:00,2024-09-12 03:06:00,Dung gio
LB000548,CB000361,MB0023,2024-10-07 11:45:00,2024-10-07 20:52:00,Tre
LB000549,CB000326,MB0016,2025-11-28 00:15:00,2025-11-28 07:06:00,Tre
LB000550,CB000305,MB0050,2024-06-30 15:30:00,2024-06-30 21:52:00,Dung gio
LB000551,CB000429,MB0096,2024-09-21 23:00:00,2024-09-22 04:21:00,Dung gio
LB000552,CB000198,MB0010,2024-06-15 18:15:00,2024-06-16 09:22:00,Dung gio
LB000553,CB000332,MB0025,2025-11-24 06:30:00,2025-11-24 18:07:00,Tre
LB000554,CB000263,MB0002,2025-11-29 00:45:00,2025-11-29 03:30:00,Dung gio
LB000555,CB000308,MB0087,2024-01-09 07:30:00,2024-01-09 18:22:00,Dung gio
LB000556,CB000365,MB0074,2025-10-20 08:45:00,2025-10-21 00:31:00,Tre
LB000557,CB000437,MB0041,2025-04-15 08:15:00,2025-04-15 16:42:00,Dung gio
LB000558,CB000347,MB0057,2025-09-30 12:00:00,2025-09-30 12:37:00,Huy
LB000559,CB000340,MB0090,2025-01-18 17:30:00,2025-01-18 23:05:00,Dung gio
LB000560,CB000247,MB0012,2024-12-10 08:30:00,2024-12-10 23:42:00,Dung gio
LB000561,CB000134,MB0067,2025-12-29 20:30:00,2025-12-30 00:12:00,Dung gio
LB000562,CB000265,MB0078,2024-09-03 01:45:00,2024-09-03 13:31:00,Dung gio
LB000563,CB000349,MB0017,2024-01-27 20:45:00,2024-01-28 02:17:00,Dung gio
LB000564,CB000465,MB0047,2025-02-18 12:00:00,2025-02-18 22:27:00,Huy
LB000565,CB000418,MB0023,2024-12-17 23:15:00,2024-12-18 11:27:00,Huy
LB000566,CB000327,MB0084,2025-05-02 21:30:00,2025-05-03 06:39:00,Dung gio
LB000567,CB000433,MB0021,2025-11-04 17:15:00,2025-11-04 22:45:00,Dung gio
LB000568,CB000242,MB0017,2024-09-21 23:15:00,2024-09-22 11:21:00,Dung gio
LB000569,CB000336,MB0013,2024-08-15 11:15:00,2024-08-16 00:27:00,Dung gio
LB000570,CB000216,MB0084,2024-12-05 11:30:00,2024-12-05 21:59:00,Dung gio
LB000571,CB000238,MB0091,2024-04-30 15:00:00,2024-05-01 06:17:00,Huy
LB000572,CB000298,MB0064,2024-03-13 15:15:00,2024-03-14 00:17:00,Dung gio
LB000573,CB000445,MB0071,2025-01-25 16:30:00,2025-01-26 00:03:00,Dung gio
LB000574,CB000446,MB0091,2024-06-03 04:15:00,2024-06-03 10:35:00,Tre
LB000575,CB000292,MB0096,2025-04-13 04:30:00,2025-04-13 19:43:00,Dung gio
LB000576,CB000399,MB0013,2025-05-14 10:15:00,2025-05-14 16:05:00,Dung gio
LB000577,CB000003,MB0050,2024-10-07 06:15:00,2024-10-07 16:35:00,Dung gio
LB000578,CB000251,MB0084,2024-03-31 04:45:00,2024-03-31 16:03:00,Tre
LB000579,CB000207,MB0048,2025-05-03 12:00:00,2025-05-03 13:08:00,Huy
LB000580,CB000103,MB0076,2025-01-17 00:30:00,2025-01-17 13:55:00,Huy
LB000581,CB000098,MB0002,2025-11-23 00:15:00,2025-11-23 04:36:00,Dung gio
LB000582,CB000160,MB0017,2024-04-15 12:30:00,2024-04-15 15:51:00,Dung gio
LB000583,CB000422,MB0005,2024-11-01 09:45:00,2024-11-01 22:40:00,Huy
LB000584,CB000306,MB0057,2024-12-11 13:15:00,2024-12-11 19:35:00,Tre
LB000585,CB000184,MB0078,2024-07-11 05:45:00,2024-07-11 06:34:00,Dung gio
LB000586,CB000115,MB0076,2024-05-14 06:00:00,2024-05-14 16:33:00,Huy
LB000587,CB000087,MB0016,2025-01-10 22:00:00,2025-01-11 04:54:00,Dung gio
LB000588,CB000395,MB0059,2025-09-30 01:00:00,2025-09-30 12:47:00,Dung gio
LB000589,CB000335,MB0090,2024-01-21 01:00:00,2024-01-21 08:36:00,Tre
LB000590,CB000195,MB0016,2025-07-14 08:45:00,2025-07-14 21:13:00,Dung gio
LB000591,CB000106,MB0073,2025-12-03 20:00:00,2025-12-04 01:38:00,Tre
LB000592,CB000339,MB0015,2025-11-09 16:30:00,2025-11-10 03:37:00,Huy
LB000593,CB000359,MB0017,2025-03-04 03:00:00,2025-03-04 08:19:00,Dung gio
LB000594,CB000402,MB0015,2025-05-24 06:15:00,2025-05-24 20:01:00,Dung gio
LB000595,CB000426,MB0057,2024-07-25 11:45:00,2024-07-25 17:17:00,Dung gio
LB000596,CB000021,MB0060,2025-05-23 06:45:00,2025-05-23 12:53:00,Dung gio
LB000597,CB000002,MB0001,2025-11-18 02:00:00,2025-11-18 16:45:00,Huy
LB000598,CB000343,MB0054,2024-06-01 02:00:00,2024-06-01 14:50:00,Dung gio
LB000599,CB000464,MB0027,2025-10-21 07:45:00,2025-10-21 13:18:00,Dung gio
LB000600,CB000238,MB0010,2024-04-12 05:00:00,2024-04-12 20:02:00,Dung gio
LB000601,CB000185,MB0087,2025-11-24 10:45:00,2025-11-24 23:51:00,Dung gio
LB000602,CB000049,MB0091,2024-02-16 00:15:00,2024-02-16 12:04:00,Dung gio
LB000603,CB000169,MB0041,2025-03-24 19:30:00,2025-03-25 10:59:00,Dung gio
