MaHanhLy,MaVe,TrongLuong,LoaiHanhLy
HL00000634,VE00015013,6.97,Xach tay
HL00000635,VE00021466,0.86,Xach tay
HL00000636,VE00021466,26.27,Ky gui
HL00000637,VE00040769,1.27,Xach tay
HL00000638,VE00040769,26.79,Ky gui
HL00000639,VE00075850,17.38,Ky gui
HL00000640,VE00003366,28.6,Ky gui
HL00000641,VE00040889,4.27,Xach tay
HL00000642,VE00049193,1.42,Xach tay
HL00000643,VE00049193,22.65,Ky gui
HL00000644,VE00051991,6.47,Xach tay
HL00000645,VE00025996,5.06,Xach tay
HL00000646,VE00025996,8.52,Ky gui
HL00000647,VE00009962,0.82,Xach tay
HL00000648,VE00077608,5.66,Xach tay
HL00000649,VE00031831,1.61,Xach tay
HL00000650,VE00013357,27.08,Ky gui
HL00000651,VE00039530,3.73,Xach tay
HL00000652,VE00078698,10.96,Ky gui
HL00000653,VE00015867,16.51,Ky gui
HL00000654,VE00074178,31.52,Ky gui
HL00000655,VE00005384,13.75,Ky gui
HL00000656,VE00069828,8.71,Ky gui
HL00000657,VE00056149,26.41,Ky gui
HL00000658,VE00048572,21.01,Ky gui
HL00000659,VE00009039,1.28,Xach tay
HL00000660,VE00066318,3.2,Xach tay
HL00000661,VE00044726,19.94,Ky gui
HL00000662,VE00001659,6.52,Xach tay
HL00000663,VE00055058,1.15,Xach tay
HL00000664,VE00055058,27.88,Ky gui
HL00000665,VE00064252,26.0,Ky gui
HL00000666,VE00013834,3.67,Xach tay
HL00000667,VE00013834,5.17,Ky gui
HL00000668,VE00056823,1.08,Xach tay
HL00000669,VE00047473,28.95,Ky gui
HL00000670,VE00060259,5.75,Xach tay
HL00000671,VE00020053,23.69,Ky gui
HL00000672,VE00057081,4.66,Xach tay
HL00000673,VE00023087,16.12,Ky gui
HL00000674,VE00035401,6.02,Ky gui
HL00000675,VE00070540,3.75,Xach tay
HL00000676,VE00060932,26.13,Ky gui
HL00000677,VE00057092,0.53,Xach tay
HL00000678,VE00077657,1.26,Xach tay
HL00000679,VE00035180,7.58,Ky gui
HL00000680,VE00042246,5.45,Xach tay
HL00000681,VE00032178,10.92,Ky gui
HL00000682,VE00011360,22.8,Ky gui
HL00000683,VE00036560,1.76,Xach tay
HL00000684,VE00059088,23.5,Ky gui
HL00000685,VE00060911,1.65,Xach tay
HL00000686,VE00074692,6.16,Ky gui
HL00000687,VE00079998,12.7,Ky gui
HL00000688,VE00049675,2.67,Xach tay
HL00000689,VE00044093,25.48,Ky gui
HL00000690,VE00003762,5.31,Xach tay
HL00000691,VE00003762,29.97,Ky gui
HL00000692,VE00064790,5.61,Xach tay
HL00000693,VE00042601,1.25,Xach tay
HL00000694,VE00063905,21.0,Ky gui
HL00000695,VE00027803,1.79,Xach tay
HL00000696,VE00046508,13.79,Ky gui
HL00000697,VE00033863,13.81,Ky gui
HL00000698,VE00044609,5.3,Xach tay
HL00000699,VE00044609,28.49,Ky gui
HL00000700,VE00036656,1.93,Xach tay
HL00000701,VE00078140,3.65,Xach tay
HL00000702,VE00072849,6.53,Xach tay
HL00000703,VE00001331,3.02,Xach tay
HL00000704,VE00067716,5.18,Xach tay
HL00000705,VE00025043,31.34,Ky gui
HL00000706,VE00011222,1.33,Xach tay
HL00000707,VE00031636,6.61,Ky gui
HL00000708,VE00053272,6.04,Xach tay
HL00000709,VE00064039,1.61,Xach tay
HL00000710,VE00072769,6.26,Xach tay
HL00000711,VE00031500,26.32,Ky gui
HL00000712,VE00062403,21.51,Ky gui
HL00000713,VE00064333,6.81,Xach tay
HL00000714,VE00002261,6.07,Xach tay
HL00000715,VE00002261,18.21,Ky gui
HL00000716,VE00038567,27.6,Ky gui
HL00000717,VE00029046,5.25,Xach tay
HL00000718,VE00053006,11.66,Ky gui
HL00000719,VE00031891,4.27,Xach tay
HL00000720,VE00076226,9.02,Ky gui
HL00000721,VE00048369,5.14,Ky gui
HL00000722,VE00072545,3.56,Xach tay
HL00000723,VE00072545,25.75,Ky gui
HL00000724,VE00069589,3.95,Xach tay
HL00000725,VE00069589,17.94,Ky gui
HL00000726,VE00045057,27.17,Ky gui
HL00000727,VE00055772,2.06,Xach tay
HL00000728,VE00072141,5.34,Ky gui
HL00000729,VE00043358,30.65,Ky gui
HL00000730,VE00046113,2.42,Xach tay
HL00000731,VE00059474,7.45,Ky gui
HL00000732,VE00035510,2.48,Xach tay
HL00000733,VE00040190,28.16,Ky gui
HL00000734,VE00032952,5.66,Ky gui
HL00000735,VE00030218,5.52,Xach tay
HL00000736,VE00025243,5.63,Xach tay
HL00000737,VE00041360,3.52,Xach tay
HL00000738,VE00015671,28.23,Ky gui
HL00000739,VE00070237,6.31,Xach tay
HL00000740,VE00070237,13.99,Ky gui
HL00000741,VE00024268,3.27,Xach tay
HL00000742,VE00024268,12.28,Ky gui
HL00000743,VE00028362,26.45,Ky gui
HL00000744,VE00063465,7.19,Ky gui
HL00000745,VE00077279,6.48,Ky gui
HL00000746,VE00078223,28.98,Ky gui
HL00000747,VE00037094,2.88,Xach tay
HL00000748,VE00013177,14.87,Ky gui
HL00000749,VE00025444,4.13,Xach tay
HL00000750,VE00038830,5.11,Xach tay
HL00000751,VE00038830,10.53,Ky gui
HL00000752,VE00047302,1.24,Xach tay
HL00000753,VE00023520,6.6,Xach tay
HL00000754,VE00039619,30.9,Ky gui
HL00000755,VE00001855,5.34,Xach tay
HL00000756,VE00016592,2.79,Xach tay
HL00000757,VE00035955,4.92,Xach tay
HL00000758,VE00005966,0.91,Xach tay
HL00000759,VE00007147,3.66,Xach tay
HL00000760,VE00072530,8.31,Ky gui
HL00000761,VE00038291,23.31,Ky gui
HL00000762,VE00016552,12.89,Ky gui
HL00000763,VE00064341,26.6,Ky gui
HL00000764,VE00001608,30.4,Ky gui
HL00000765,VE00075244,6.3,Xach tay
HL00000766,VE00075244,17.36,Ky gui
HL00000767,VE00037269,6.34,Xach tay
HL00000768,VE00037269,12.79,Ky gui
HL00000769,VE00062747,2.29,Xach tay
HL00000770,VE00057734,18.4,Ky gui
HL00000771,VE00024165,21.94,Ky gui
HL00000772,VE00006735,6.8,Xach tay
HL00000773,VE00033093,8.56,Ky gui
HL00000774,VE00062617,3.39,Xach tay
HL00000775,VE00014954,12.87,Ky gui
HL00000776,VE00008565,6.17,Xach tay
HL00000777,VE00008565,11.27,Ky gui
HL00000778,VE00064455,16.12,Ky gui
HL00000779,VE00009711,4.7,Xach tay
HL00000780,VE00075632,4.36,Xach tay
HL00000781,VE00007027,27.73,Ky gui
HL00000782,VE00019888,2.48,Xach tay
HL00000783,VE00019556,5.63,Xach tay
HL00000784,VE00073773,2.19,Xach tay
HL00000785,VE00039825,6.81,Xach tay
HL00000786,VE00011165,6.28,Ky gui
HL00000787,VE00032531,3.46,Xach tay
HL00000788,VE00015526,6.51,Xach tay
HL00000789,VE00073148,12.7,Ky gui
HL00000790,VE00079472,23.71,Ky gui
HL00000791,VE00078136,9.14,Ky gui
HL00000792,VE00029582,0.77,Xach tay
HL00000793,VE00068495,1.32,Xach tay
HL00000794,VE00049857,1.7,Xach tay
HL00000795,VE00059050,5.94,Ky gui
HL00000796,VE00058029,2.74,Xach tay
HL00000797,VE00038975,4.01,Xach tay
HL00000798,VE00077140,2.46,Xach tay
HL00000799,VE00040027,3.75,Xach tay
HL00000800,VE00074532,3.48,Xach tay
HL00000801,VE00007895,0.53,Xach tay
HL00000802,VE00079906,31.34,Ky gui
HL00000803,VE00013007,5.09,Xach tay
HL00000804,VE00027236,2.38,Xach tay
HL00000805,VE00010642,8.97,Ky gui
HL00000806,VE00020586,29.49,Ky gui
HL00000807,VE00031440,4.98,Xach tay
HL00000808,VE00022783,29.3,Ky gui
HL00000809,VE00072351,4.08,Xach tay
HL00000810,VE00009839,3.11,Xach tay
HL00000811,VE00020518,17.04,Ky gui
HL00000812,VE00000351,0.86,Xach tay
HL00000813,VE00000351,22.32,Ky gui
HL00000814,VE00053546,11.0,Ky gui
HL00000815,VE00077833,0.65,Xach tay
HL00000816,VE00061593,17.03,Ky gui
HL00000817,VE00038176,7.36,Ky gui
HL00000818,VE00004279,10.25,Ky gui
HL00000819,VE00030341,4.43,Xach tay
HL00000820,VE00059511,1.46,Xach tay
HL00000821,VE00030596,2.92,Xach tay
HL00000822,VE00034676,2.78,Xach tay
HL00000823,VE00055724,5.23,Xach tay
HL00000824,VE00055724,16.99,Ky gui
HL00000825,VE00071377,12.79,Ky gui
HL00000826,VE00029467,31.2,Ky gui
HL00000827,VE00019529,6.33,Xach tay
HL00000828,VE00034817,4.32,Xach tay
HL00000829,VE00018644,1.85,Xach tay
HL00000830,VE00018644,17.81,Ky gui
HL00000831,VE00021748,6.74,Xach tay
HL00000832,VE00021748,25.42,Ky gui
HL00000833,VE00040320,3.16,Xach tay
HL00000834,VE00040320,29.69,Ky gui
HL00000835,VE00077994,4.11,Xach tay
HL00000836,VE00074608,25.39,Ky gui
HL00000837,VE00037829,1.71,Xach tay
HL00000838,VE00057561,4.1,Xach tay
HL00000839,VE00016300,5.87,Xach tay
HL00000840,VE00016300,27.53,Ky gui
HL00000841,VE00061434,4.14,Xach tay
HL00000842,VE00039858,0.67,Xach tay
HL00000843,VE00052758,2.21,Xach tay
HL00000844,VE00052758,30.81,Ky gui
HL00000845,VE00035684,17.76,Ky gui
HL00000846,VE00065598,29.1,Ky gui
HL00000847,VE00070777,3.7,Xach tay
HL00000848,VE00064723,11.61,Ky gui
HL00000849,VE00057378,2.3,Xach tay
HL00000850,VE00078386,5.35,Xach tay
HL00000851,VE00078386,20.69,Ky gui
HL00000852,VE00005225,28.45,Ky gui
HL00000853,VE00056627,17.85,Ky gui
HL00000854,VE00042248,8.23,Ky gui
HL00000855,VE00079130,20.53,Ky gui
HL00000856,VE00032817,9.4,Ky gui
HL00000857,VE00003391,2.58,Xach tay
HL00000858,VE00003391,28.71,Ky gui
HL00000859,VE00011971,1.56,Xach tay
HL00000860,VE00030006,3.23,Xach tay
HL00000861,VE00076956,2.38,Xach tay
HL00000862,VE00002720,30.28,Ky gui
HL00000863,VE00035326,25.69,Ky gui
HL00000864,VE00075530,1.11,Xach tay
HL00000865,VE00005274,19.68,Ky gui
HL00000866,VE00061670,23.49,Ky gui
HL00000867,VE00068022,4.96,Xach tay
HL00000868,VE00057964,7.59,Ky gui
HL00000869,VE00036459,27.23,Ky gui
HL00000870,VE00023789,3.87,Xach tay
HL00000871,VE00023789,15.07,Ky gui
HL00000872,VE00076721,2.71,Xach tay
HL00000873,VE00064452,1.5,Xach tay
HL00000874,VE00011960,1.72,Xach tay
HL00000875,VE00045608,27.45,Ky gui
HL00000876,VE00053524,19.37,Ky gui
HL00000877,VE00043688,25.42,Ky gui
HL00000878,VE00042082,3.49,Xach tay
HL00000879,VE00013711,5.82,Xach tay
HL00000880,VE00013711,29.93,Ky gui
HL00000881,VE00021080,2.53,Xach tay
HL00000882,VE00043229,5.81,Xach tay
HL00000883,VE00064943,25.62,Ky gui
HL00000884,VE00037778,5.11,Xach tay
HL00000885,VE00052489,5.79,Xach tay
HL00000886,VE00052489,11.0,Ky gui
HL00000887,VE00004810,1.97,Xach tay
HL00000888,VE00059615,1.35,Xach tay
HL00000889,VE00011543,4.99,Xach tay
HL00000890,VE00011543,26.17,Ky gui
HL00000891,VE00041225,5.54,Xach tay
HL00000892,VE00041225,25.45,Ky gui
HL00000893,VE00033083,1.2,Xach tay
HL00000894,VE00033083,26.41,Ky gui
HL00000895,VE00042373,6.6,Ky gui
HL00000896,VE00015195,2.14,Xach tay
HL00000897,VE00052977,4.84,Xach tay
HL00000898,VE00052977,25.37,Ky gui
HL00000899,VE00067450,29.84,Ky gui
HL00000900,VE00000151,6.36,Xach tay
HL00000901,VE00071119,2.78,Xach tay
HL00000902,VE00060553,6.0,Xach tay
HL00000903,VE00060553,30.43,Ky gui
HL00000904,VE00007105,1.54,Xach tay
HL00000905,VE00024587,24.67,Ky gui
HL00000906,VE00067953,4.21,Xach tay
HL00000907,VE00047420,4.26,Xach tay
HL00000908,VE00047420,5.38,Ky gui
HL00000909,VE00065339,1.75,Xach tay
HL00000910,VE00057940,6.36,Xach tay
HL00000911,VE00006765,31.29,Ky gui
HL00000912,VE00026681,1.89,Xach tay
HL00000913,VE00026681,18.61,Ky gui
HL00000914,VE00035004,14.89,Ky gui
HL00000915,VE00071988,16.87,Ky gui
HL00000916,VE00037753,2.81,Xach tay
HL00000917,VE00057425,1.89,Xach tay
HL00000918,VE00063533,1.23,Xach tay
HL00000919,VE00003784,1.22,Xach tay
HL00000920,VE00079807,5.45,Xach tay
HL00000921,VE00031366,20.04,Ky gui
HL00000922,VE00020759,2.63,Xach tay
HL00000923,VE00020759,8.12,Ky gui
HL00000924,VE00040731,4.4,Xach tay
HL00000925,VE00072200,6.85,Xach tay
HL00000926,VE00001793,4.1,Xach tay
HL00000927,VE00072385,6.06,Xach tay
HL00000928,VE00053477,0.95,Xach tay
HL00000929,VE00012218,17.84,Ky gui
HL00000930,VE00014872,9.84,Ky gui
HL00000931,VE00015397,1.18,Xach tay
HL00000932,VE00020182,4.78,Xach tay
HL00000933,VE00065324,1.43,Xach tay
HL00000934,VE00065324,15.82,Ky gui
HL00000935,VE00038255,7.75,Ky gui
HL00000936,VE00054460,6.84,Xach tay
HL00000937,VE00054460,14.14,Ky gui
HL00000938,VE00063243,31.75,Ky gui
HL00000939,VE00061895,5.95,Xach tay
HL00000940,VE00031947,12.52,Ky gui
HL00000941,VE00059872,20.71,Ky gui
HL00000942,VE00072256,5.63,Xach tay
HL00000943,VE00018959,15.81,Ky gui
HL00000944,VE00050278,4.42,Xach tay
HL00000945,VE00024984,3.65,Xach tay
HL00000946,VE00078562,5.49,Xach tay
HL00000947,VE00066617,2.13,Xach tay
HL00000948,VE00017893,4.58,Xach tay
HL00000949,VE00009151,1.15,Xach tay
HL00000950,VE00036209,0.94,Xach tay
HL00000951,VE00036209,23.31,Ky gui
HL00000952,VE00044549,4.91,Xach tay
HL00000953,VE00066551,4.54,Xach tay
HL00000954,VE00035019,1.0,Xach tay
HL00000955,VE00035019,25.29,Ky gui
HL00000956,VE00000337,26.4,Ky gui
HL00000957,VE00037073,4.8,Xach tay
HL00000958,VE00039133,2.2,Xach tay
HL00000959,VE00076932,6.09,Xach tay
HL00000960,VE00076012,30.72,Ky gui
HL00000961,VE00064179,3.3,Xach tay
HL00000962,VE00064179,29.7,Ky gui
HL00000963,VE00019477,2.54,Xach tay
HL00000964,VE00058530,3.49,Xach tay
HL00000965,VE00070593,4.12,Xach tay
HL00000966,VE00070593,28.23,Ky gui
HL00000967,VE00063484,5.09,Xach tay
HL00000968,VE00045237,1.37,Xach tay
HL00000969,VE00043574,18.16,Ky gui
HL00000970,VE00072341,4.89,Xach tay
HL00000971,VE00071229,23.51,Ky gui
HL00000972,VE00049442,17.85,Ky gui
HL00000973,VE00042177,15.57,Ky gui
HL00000974,VE00024728,6.81,Xach tay
HL00000975,VE00031301,14.52,Ky gui
HL00000976,VE00050197,0.68,Xach tay
HL00000977,VE00030614,5.94,Xach tay
HL00000978,VE00030614,14.42,Ky gui
HL00000979,VE00053842,5.73,Ky gui
HL00000980,VE00041705,1.13,Xach tay
HL00000981,VE00049969,2.82,Xach tay
HL00000982,VE00050605,4.8,Xach tay
HL00000983,VE00019937,4.71,Xach tay
HL00000984,VE00064924,29.58,Ky gui
HL00000985,VE00004853,2.48,Xach tay
HL00000986,VE00004853,14.12,Ky gui
HL00000987,VE00016548,2.62,Xach tay
HL00000988,VE00016548,17.44,Ky gui
HL00000989,VE00077357,29.34,Ky gui
HL00000990,VE00043516,5.02,Xach tay
HL00000991,VE00013155,31.62,Ky gui
HL00000992,VE00057712,3.04,Xach tay
HL00000993,VE00013070,26.82,Ky gui
HL00000994,VE00068938,4.89,Xach tay
HL00000995,VE00059891,3.77,Xach tay
HL00000996,VE00002012,14.17,Ky gui
HL00000997,VE00018895,14.81,Ky gui
HL00000998,VE00053737,3.73,Xach tay
HL00000999,VE00020233,26.25,Ky gui
HL00001000,VE00009808,19.47,Ky gui
HL00001001,VE00061538,0.81,Xach tay
HL00001002,VE00044376,1.97,Xach tay
HL00001003,VE00052099,7.48,Ky gui
HL00001004,VE00010528,7.56,Ky gui
HL00001005,VE00043066,0.94,Xach tay
HL00001006,VE00069943,17.83,Ky gui
HL00001007,VE00049809,5.67,Xach tay
HL00001008,VE00041506,13.15,Ky gui
HL00001009,VE00063957,16.69,Ky gui
HL00001010,VE00070913,10.4,Ky gui
HL00001011,VE00004706,4.56,Xach tay
HL00001012,VE00008969,5.46,Xach tay
HL00001013,VE00030772,0.62,Xach tay
HL00001014,VE00037668,28.29,Ky gui
HL00001015,VE00029818,10.75,Ky gui
HL00001016,VE00056882,17.62,Ky gui
HL00001017,VE00013174,21.59,Ky gui
HL00001018,VE00058154,16.71,Ky gui
HL00001019,VE00021806,21.92,Ky gui
HL00001020,VE00039252,14.84,Ky gui
HL00001021,VE00003795,1.48,Xach tay
HL00001022,VE00006029,13.11,Ky gui
HL00001023,VE00042517,2.57,Xach tay
HL00001024,VE00007356,6.74,Ky gui
HL00001025,VE00038453,3.18,Xach tay
HL00001026,VE00046985,22.44,Ky gui
HL00001027,VE00049132,4.41,Xach tay
HL00001028,VE00056451,1.24,Xach tay
HL00001029,VE00019081,2.1,Xach tay
HL00001030,VE00032008,17.53,Ky gui
HL00001031,VE00069622,16.78,Ky gui
HL00001032,VE00054009,6.0,Ky gui
HL00001033,VE00023601,1.39,Xach tay
HL00001034,VE00022281,5.72,Xach tay
HL00001035,VE00022947,9.75,Ky gui
HL00001036,VE00031567,0.63,Xach tay
HL00001037,VE00076436,4.41,Xach tay
HL00001038,VE00076436,28.41,Ky gui
HL00001039,VE00030434,2.86,Xach tay
HL00001040,VE00060444,7.44,Ky gui
HL00001041,VE00060237,8.8,Ky gui
HL00001042,VE00033467,5.27,Xach tay
HL00001043,VE00060982,27.38,Ky gui
HL00001044,VE00020707,6.25,Xach tay
HL00001045,VE00009682,1.29,Xach tay
HL00001046,VE00057899,13.89,Ky gui
HL00001047,VE00045294,15.53,Ky gui
HL00001048,VE00077015,11.37,Ky gui
HL00001049,VE00039211,1.44,Xach tay
HL00001050,VE00055616,6.8,Xach tay
HL00001051,VE00032781,2.15,Xach tay
HL00001052,VE00059879,18.24,Ky gui
HL00001053,VE00039600,6.67,Xach tay
HL00001054,VE00026112,3.25,Xach tay
HL00001055,VE00050423,31.01,Ky gui
HL00001056,VE00031092,5.15,Xach tay
HL00001057,VE00049987,5.57,Ky gui
HL00001058,VE00047050,27.72,Ky gui
HL00001059,VE00075342,30.4,Ky gui
HL00001060,VE00038781,26.3,Ky gui
HL00001061,VE00038697,4.09,Xach tay
HL00001062,VE00002876,6.73,Xach tay
HL00001063,VE00051880,5.78,Xach tay
HL00001064,VE00035977,6.14,Xach tay
HL00001065,VE00006429,6.41,Xach tay
HL00001066,VE00079483,6.86,Xach tay
HL00001067,VE00065108,1.09,Xach tay
HL00001068,VE00037513,11.36,Ky gui
HL00001069,VE00030163,6.29,Xach tay
HL00001070,VE00046180,28.75,Ky gui
HL00001071,VE00028706,15.97,Ky gui
HL00001072,VE00024921,6.13,Xach tay
HL00001073,VE00024921,27.23,Ky gui
HL00001074,VE00017928,3.18,Xach tay
HL00001075,VE00012736,24.37,Ky gui
HL00001076,VE00040493,27.26,Ky gui
HL00001077,VE00057780,18.67,Ky gui
HL00001078,VE00004374,4.41,Xach tay
HL00001079,VE00075966,24.92,Ky gui
HL00001080,VE00047824,0.68,Xach tay
HL00001081,VE00017225,4.67,Xach tay
HL00001082,VE00017225,22.01,Ky gui
HL00001083,VE00011814,8.67,Ky gui
HL00001084,VE00038681,4.58,Xach tay
HL00001085,VE00042824,1.03,Xach tay
HL00001086,VE00054461,3.86,Xach tay
HL00001087,VE00026319,25.61,Ky gui
HL00001088,VE00017323,23.52,Ky gui
HL00001089,VE00070702,13.62,Ky gui
HL00001090,VE00047954,5.28,Xach tay
HL00001091,VE00069580,4.97,Xach tay
HL00001092,VE00065772,26.59,Ky gui
HL00001093,VE00035721,3.19,Xach tay
HL00001094,VE00021568,6.2,Xach tay
HL00001095,VE00038685,6.66,Xach tay
HL00001096,VE00015096,21.92,Ky gui
HL00001097,VE00018450,5.06,Xach tay
HL00001098,VE00029572,3.11,Xach tay
HL00001099,VE00052090,2.19,Xach tay
HL00001100,VE00073049,2.89,Xach tay
HL00001101,VE00073049,30.58,Ky gui
HL00001102,VE00047943,5.17,Xach tay
HL00001103,VE00011837,6.48,Xach tay
HL00001104,VE00051718,4.88,Xach tay
HL00001105,VE00001825,5.14,Xach tay
HL00001106,VE00034664,6.1,Xach tay
HL00001107,VE00070330,12.77,Ky gui
HL00001108,VE00016200,1.35,Xach tay
HL00001109,VE00048312,31.87,Ky gui
HL00001110,VE00034363,4.9,Xach tay
HL00001111,VE00076620,3.16,Xach tay
HL00001112,VE00049942,2.39,Xach tay
HL00001113,VE00048690,4.51,Xach tay
HL00001114,VE00030648,4.95,Xach tay
HL00001115,VE00061798,0.57,Xach tay
HL00001116,VE00003281,2.6,Xach tay
HL00001117,VE00073585,23.55,Ky gui
HL00001118,VE00042993,24.13,Ky gui
HL00001119,VE00079965,11.92,Ky gui
HL00001120,VE00029016,0.88,Xach tay
HL00001121,VE00029016,13.99,Ky gui
HL00001122,VE00008286,6.4,Xach tay
HL00001123,VE00015293,25.2,Ky gui
HL00001124,VE00018321,2.15,Xach tay
HL00001125,VE00018321,21.73,Ky gui
HL00001126,VE00005944,3.07,Xach tay
HL00001127,VE00004878,6.79,Xach tay
HL00001128,VE00039894,20.67,Ky gui
HL00001129,VE00064570,3.77,Xach tay
HL00001130,VE00030776,2.56,Xach tay
HL00001131,VE00070458,8.83,Ky gui
HL00001132,VE00017782,0.79,Xach tay
HL00001133,VE00050941,6.17,Xach tay
HL00001134,VE00059460,25.19,Ky gui
HL00001135,VE00070805,6.2,Xach tay
HL00001136,VE00054936,25.56,Ky gui
HL00001137,VE00076984,2.53,Xach tay
HL00001138,VE00054380,6.96,Xach tay
HL00001139,VE00012979,9.08,Ky gui
HL00001140,VE00053493,26.55,Ky gui
HL00001141,VE00036667,1.47,Xach tay
HL00001142,VE00036667,11.21,Ky gui
HL00001143,VE00004289,2.19,Xach tay
HL00001144,VE00004289,24.06,Ky gui
HL00001145,VE00048567,6.97,Xach tay
HL00001146,VE00058116,2.82,Xach tay
HL00001147,VE00058116,24.14,Ky gui
HL00001148,VE00058288,3.7,Xach tay
HL00001149,VE00030948,28.41,Ky gui
HL00001150,VE00047538,1.11,Xach tay
HL00001151,VE00048148,1.59,Xach tay
HL00001152,VE00071365,12.37,Ky gui
HL00001153,VE00007937,20.76,Ky gui
HL00001154,VE00036161,20.41,Ky gui
HL00001155,VE00024879,1.0,Xach tay
HL00001156,VE00016012,23.28,Ky gui
HL00001157,VE00012016,4.93,Xach tay
HL00001158,VE00012016,23.38,Ky gui
HL00001159,VE00027802,4.34,Xach tay
HL00001160,VE00002800,9.15,Ky gui
HL00001161,VE00006630,5.9,Xach tay
HL00001162,VE00006630,22.81,Ky gui
HL00001163,VE00043714,6.71,Xach tay
HL00001164,VE00031926,5.16,Ky gui
HL00001165,VE00074001,30.67,Ky gui
HL00001166,VE00026897,5.26,Xach tay
HL00001167,VE00008993,30.85,Ky gui
HL00001168,VE00072642,10.71,Ky gui
HL00001169,VE00027153,4.68,Xach tay
HL00001170,VE00027153,13.73,Ky gui
HL00001171,VE00076859,0.96,Xach tay
HL00001172,VE00076859,30.7,Ky gui
HL00001173,VE00028306,3.09,Xach tay
HL00001174,VE00030540,6.77,Xach tay
HL00001175,VE00019341,6.04,Xach tay
HL00001176,VE00019341,9.4,Ky gui
HL00001177,VE00078117,12.69,Ky gui
HL00001178,VE00000372,22.66,Ky gui
HL00001179,VE00036343,3.69,Xach tay
HL00001180,VE00018965,5.74,Xach tay
HL00001181,VE00017039,4.95,Xach tay
HL00001182,VE00070808,4.83,Xach tay
HL00001183,VE00032854,18.84,Ky gui
HL00001184,VE00022872,6.26,Xach tay
HL00001185,VE00014409,4.16,Xach tay
HL00001186,VE00003380,5.42,Xach tay
HL00001187,VE00017276,21.57,Ky gui
HL00001188,VE00001948,3.27,Xach tay
HL00001189,VE00046956,2.72,Xach tay
HL00001190,VE00046956,17.52,Ky gui
HL00001191,VE00031187,4.96,Xach tay
HL00001192,VE00077183,3.72,Xach tay
HL00001193,VE00042438,19.17,Ky gui
HL00001194,VE00002069,3.34,Xach tay
HL00001195,VE00034783,1.47,Xach tay
HL00001196,VE00006869,6.37,Xach tay
HL00001197,VE00016615,19.12,Ky gui
HL00001198,VE00055177,0.81,Xach tay
HL00001199,VE00068956,0.79,Xach tay
HL00001200,VE00068956,7.91,Ky gui
HL00001201,VE00014897,1.11,Xach tay
HL00001202,VE00008331,20.35,Ky gui
HL00001203,VE00062423,2.16,Xach tay
HL00001204,VE00058757,3.77,Xach tay
HL00001205,VE00058757,8.08,Ky gui
HL00001206,VE00047454,9.85,Ky gui
HL00001207,VE00067272,3.05,Xach tay
HL00001208,VE00077813,6.2,Xach tay
HL00001209,VE00077813,13.04,Ky gui
HL00001210,VE00014294,17.28,Ky gui
HL00001211,VE00059246,21.84,Ky gui
HL00001212,VE00066040,6.78,Xach tay
HL00001213,VE00005684,1.7,Xach tay
HL00001214,VE00068348,21.31,Ky gui
HL00001215,VE00060037,3.97,Xach tay
HL00001216,VE00004083,1.26,Xach tay
HL00001217,VE00004083,9.64,Ky gui
HL00001218,VE00007973,5.0,Xach tay
HL00001219,VE00055873,18.14,Ky gui
HL00001220,VE00014151,31.3,Ky gui
HL00001221,VE00064261,4.88,Xach tay
HL00001222,VE00058139,15.66,Ky gui
HL00001223,VE00009633,1.31,Xach tay
HL00001224,VE00010590,1.23,Xach tay
HL00001225,VE00010590,5.43,Ky gui
HL00001226,VE00019443,4.72,Xach tay
HL00001227,VE00008610,16.77,Ky gui
HL00001228,VE00016541,26.33,Ky gui
HL00001229,VE00036047,2.46,Xach tay
HL00001230,VE00076725,3.58,Xach tay
HL00001231,VE00071875,1.58,Xach tay
HL00001232,VE00071875,9.12,Ky gui
HL00001233,VE00042623,31.02,Ky gui
HL00001234,VE00049926,6.09,Xach tay
HL00001235,VE00078302,10.44,Ky gui
HL00001236,VE00069542,27.51,Ky gui
HL00001237,VE00038653,0.55,Xach tay
HL00001238,VE00038653,22.02,Ky gui
HL00001239,VE00059470,31.45,Ky gui
HL00001240,VE00066264,24.9,Ky gui
HL00001241,VE00079355,19.97,Ky gui
HL00001242,VE00056388,3.67,Xach tay
HL00001243,VE00013000,4.34,Xach tay
HL00001244,VE00014997,23.32,Ky gui
HL00001245,VE00072265,18.17,Ky gui
HL00001246,VE00028184,19.26,Ky gui
HL00001247,VE00056371,2.55,Xach tay
HL00001248,VE00059187,6.3,Xach tay
HL00001249,VE00059187,16.26,Ky gui
HL00001250,VE00029950,3.72,Xach tay
HL00001251,VE00044425,5.03,Xach tay
HL00001252,VE00059442,2.37,Xach tay
HL00001253,VE00059442,10.19,Ky gui
HL00001254,VE00052263,2.01,Xach tay
HL00001255,VE00054525,6.41,Xach tay
HL00001256,VE00012464,4.41,Xach tay
HL00001257,VE00040967,22.74,Ky gui
HL00001258,VE00055937,2.41,Xach tay
HL00001259,VE00040964,30.91,Ky gui
HL00001260,VE00033409,23.17,Ky gui
HL00001261,VE00049061,26.49,Ky gui
HL00001262,VE00020007,27.8,Ky gui
HL00001263,VE00062164,12.63,Ky gui
HL00001264,VE00008800,23.01,Ky gui
HL00001265,VE00011958,1.8,Xach tay
HL00001266,VE00011189,7.72,Ky gui
HL00001267,VE00012220,6.96,Xach tay
HL00001268,VE00056607,1.86,Xach tay
