MaGia,MaLich,HangGhe,Gia,ThoiDiemBatDau,ThoiDiemKetThuc
MG0000748,LB000250,Pho thong,4473000,2024-01-06 16:45:00,2024-06-23 10:45:00
MG0000749,LB000250,Thuong gia,7325000,2024-04-11 16:45:00,2024-06-22 19:45:00
MG0000750,LB000250,Hang nhat,46152000,2024-05-30 16:45:00,2024-06-22 18:45:00
MG0000751,LB000251,Pho thong,3428000,2025-11-03 03:15:00,2025-12-17 14:15:00
MG0000752,LB000251,Thuong gia,4094000,2025-10-17 03:15:00,2025-12-17 06:15:00
MG0000753,LB000251,Hang nhat,29072000,2025-11-21 03:15:00,2025-12-17 20:15:00
MG0000754,LB000252,Pho thong,3656000,2024-04-29 13:15:00,2024-06-03 20:15:00
MG0000755,LB000252,Thuong gia,7123000,2024-05-30 13:15:00,2024-06-03 14:15:00
MG0000756,LB000252,Hang nhat,15287000,2024-05-02 13:15:00,2024-06-03 14:15:00
MG0000757,LB000253,Pho thong,1175000,2025-04-06 23:00:00,2025-04-27 10:00:00
MG0000758,LB000253,Thuong gia,7411000,2025-03-29 23:00:00,2025-04-27 12:00:00
MG0000759,LB000253,Hang nhat,40938000,2025-02-07 23:00:00,2025-04-27 10:00:00
MG0000760,LB000254,Pho thong,3028000,2025-06-21 10:45:00,2025-07-28 07:45:00
MG0000761,LB000254,Thuong gia,7214000,2025-07-23 10:45:00,2025-07-27 19:45:00
MG0000762,LB000254,Hang nhat,34643000,2025-06-01 10:45:00,2025-07-27 20:45:00
MG0000763,LB000255,Pho thong,4566000,2024-12-20 17:30:00,2025-04-15 14:30:00
MG0000764,LB000255,Thuong gia,11760000,2025-03-08 17:30:00,2025-04-14 22:30:00
MG0000765,LB000255,Hang nhat,41643000,2025-01-13 17:30:00,2025-04-15 06:30:00
MG0000766,LB000256,Pho thong,1154000,2025-09-23 20:30:00,2025-11-27 23:30:00
MG0000767,LB000256,Thuong gia,3322000,2025-07-07 20:30:00,2025-11-27 21:30:00
MG0000768,LB000256,Hang nhat,30710000,2025-06-10 20:30:00,2025-11-28 13:30:00
MG0000769,LB000257,Pho thong,2445000,2024-06-01 17:30:00,2024-10-11 17:30:00
MG0000770,LB000257,Thuong gia,8939000,2024-04-27 17:30:00,2024-10-12 09:30:00
MG0000771,LB000257,Hang nhat,35523000,2024-09-11 17:30:00,2024-10-12 01:30:00
MG0000772,LB000258,Pho thong,4722000,2025-12-01 06:45:00,2025-12-21 18:45:00
MG0000773,LB000258,Thuong gia,8050000,2025-11-16 06:45:00,2025-12-21 11:45:00
MG0000774,LB000258,Hang nhat,48178000,2025-08-02 06:45:00,2025-12-21 14:45:00
MG0000775,LB000259,Pho thong,1084000,2024-09-16 09:00:00,2024-10-06 14:00:00
MG0000776,LB000259,Thuong gia,14071000,2024-07-29 09:00:00,2024-10-07 07:00:00
MG0000777,LB000259,Hang nhat,38505000,2024-06-25 09:00:00,2024-10-06 12:00:00
MG0000778,LB000260,Pho thong,2490000,2024-10-22 11:15:00,2025-02-07 12:15:00
MG0000779,LB000260,Thuong gia,4003000,2024-08-26 11:15:00,2025-02-08 02:15:00
MG0000780,LB000260,Hang nhat,31456000,2025-01-16 11:15:00,2025-02-08 06:15:00
MG0000781,LB000261,Pho thong,3734000,2023-12-09 11:45:00,2024-03-21 01:45:00
MG0000782,LB000261,Thuong gia,4035000,2024-01-17 11:45:00,2024-03-21 03:45:00
MG0000783,LB000261,Hang nhat,34492000,2023-11-28 11:45:00,2024-03-20 20:45:00
MG0000784,LB000262,Pho thong,3915000,2024-07-21 06:30:00,2024-08-06 08:30:00
MG0000785,LB000262,Thuong gia,11495000,2024-06-21 06:30:00,2024-08-07 05:30:00
MG0000786,LB000262,Hang nhat,48121000,2024-08-02 06:30:00,2024-08-06 14:30:00
MG0000787,LB000263,Pho thong,2362000,2025-05-09 23:15:00,2025-09-22 17:15:00
MG0000788,LB000263,Thuong gia,7020000,2025-07-13 23:15:00,2025-09-22 22:15:00
MG0000789,LB000263,Hang nhat,12555000,2025-06-02 23:15:00,2025-09-22 06:15:00
MG0000790,LB000264,Pho thong,2712000,2025-01-28 07:15:00,2025-06-26 15:15:00
MG0000791,LB000264,Thuong gia,13312000,2025-03-24 07:15:00,2025-06-26 15:15:00
MG0000792,LB000264,Hang nhat,20205000,2025-05-13 07:15:00,2025-06-27 01:15:00
MG0000793,LB000265,Pho thong,3911000,2025-03-30 03:15:00,2025-04-27 19:15:00
MG0000794,LB000265,Thuong gia,5935000,2025-04-25 03:15:00,2025-04-28 02:15:00
MG0000795,LB000265,Hang nhat,46809000,2024-12-26 03:15:00,2025-04-27 14:15:00
MG0000796,LB000266,Pho thong,4173000,2025-01-03 20:45:00,2025-02-20 02:45:00
MG0000797,LB000266,Thuong gia,6862000,2024-09-03 20:45:00,2025-02-20 12:45:00
MG0000798,LB000266,Hang nhat,43040000,2024-11-03 20:45:00,2025-02-20 11:45:00
MG0000799,LB000267,Pho thong,2909000,2024-06-28 09:00:00,2024-11-24 05:00:00
MG0000800,LB000267,Thuong gia,12652000,2024-11-08 09:00:00,2024-11-24 01:00:00
MG0000801,LB000267,Hang nhat,45080000,2024-11-10 09:00:00,2024-11-24 06:00:00
MG0000802,LB000268,Pho thong,1163000,2024-06-11 17:00:00,2024-08-25 06:00:00
MG0000803,LB000268,Thuong gia,5408000,2024-04-28 17:00:00,2024-08-25 05:00:00
MG0000804,LB000268,Hang nhat,34909000,2024-03-31 17:00:00,2024-08-24 17:00:00
MG0000805,LB000269,Pho thong,4882000,2024-02-29 01:45:00,2024-06-28 06:45:00
MG0000806,LB000269,Thuong gia,3077000,2024-05-07 01:45:00,2024-06-28 20:45:00
MG0000807,LB000269,Hang nhat,31662000,2024-03-14 01:45:00,2024-06-28 17:45:00
MG0000808,LB000270,Pho thong,806000,2024-05-11 01:00:00,2024-10-22 14:00:00
MG0000809,LB000270,Thuong gia,11727000,2024-05-05 01:00:00,2024-10-22 01:00:00
MG0000810,LB000270,Hang nhat,49325000,2024-09-24 01:00:00,2024-10-22 08:00:00
MG0000811,LB000271,Pho thong,4885000,2024-08-21 09:45:00,2024-12-09 07:45:00
MG0000812,LB000271,Thuong gia,3527000,2024-10-31 09:45:00,2024-12-09 06:45:00
MG0000813,LB000271,Hang nhat,45823000,2024-10-08 09:45:00,2024-12-08 10:45:00
MG0000814,LB000272,Pho thong,1201000,2024-01-18 16:45:00,2024-05-16 21:45:00
MG0000815,LB000272,Thuong gia,10103000,2024-04-10 16:45:00,2024-05-17 13:45:00
MG0000816,LB000272,Hang nhat,48569000,2024-04-29 16:45:00,2024-05-16 18:45:00
MG0000817,LB000273,Pho thong,4374000,2024-10-02 05:45:00,2024-12-03 20:45:00
MG0000818,LB000273,Thuong gia,8433000,2024-08-23 05:45:00,2024-12-03 18:45:00
MG0000819,LB000273,Hang nhat,15444000,2024-10-03 05:45:00,2024-12-03 22:45:00
MG0000820,LB000274,Pho thong,1244000,2023-08-16 23:30:00,2024-01-15 18:30:00
MG0000821,LB000274,Thuong gia,7878000,2023-09-19 23:30:00,2024-01-15 12:30:00
MG0000822,LB000274,Hang nhat,28077000,2023-08-28 23:30:00,2024-01-15 16:30:00
MG0000823,LB000275,Pho thong,1180000,2024-03-17 05:45:00,2024-07-16 01:45:00
MG0000824,LB000275,Thuong gia,11363000,2024-01-20 05:45:00,2024-07-15 06:45:00
MG0000825,LB000275,Hang nhat,15933000,2024-07-03 05:45:00,2024-07-15 18:45:00
MG0000826,LB000276,Pho thong,2957000,2024-01-23 12:00:00,2024-03-28 23:00:00
MG0000827,LB000276,Thuong gia,12841000,2023-10-05 12:00:00,2024-03-29 03:00:00
MG0000828,LB000276,Hang nhat,44184000,2024-02-11 12:00:00,2024-03-28 23:00:00
MG0000829,LB000277,Pho thong,2741000,2024-04-19 00:30:00,2024-09-10 20:30:00
MG0000830,LB000277,Thuong gia,3740000,2024-08-04 00:30:00,2024-09-10 23:30:00
MG0000831,LB000277,Hang nhat,42947000,2024-07-14 00:30:00,2024-09-10 17:30:00
MG0000832,LB000278,Pho thong,3262000,2024-06-24 10:30:00,2024-09-29 15:30:00
MG0000833,LB000278,Thuong gia,5373000,2024-09-08 10:30:00,2024-09-30 07:30:00
MG0000834,LB000278,Hang nhat,13679000,2024-04-15 10:30:00,2024-09-30 05:30:00
MG0000835,LB000279,Pho thong,4758000,2025-08-05 11:15:00,2025-10-31 09:15:00
MG0000836,LB000279,Thuong gia,8198000,2025-10-16 11:15:00,2025-10-30 16:15:00
MG0000837,LB000279,Hang nhat,25309000,2025-07-19 11:15:00,2025-10-31 10:15:00
MG0000838,LB000280,Pho thong,1702000,2024-02-21 12:30:00,2024-06-12 00:30:00
MG0000839,LB000280,Thuong gia,8352000,2024-04-23 12:30:00,2024-06-12 03:30:00
MG0000840,LB000280,Hang nhat,34767000,2024-05-02 12:30:00,2024-06-11 16:30:00
MG0000841,LB000281,Pho thong,2530000,2024-08-25 11:15:00,2024-10-28 19:15:00
MG0000842,LB000281,Thuong gia,4053000,2024-06-08 11:15:00,2024-10-29 09:15:00
MG0000843,LB000281,Hang nhat,17978000,2024-07-20 11:15:00,2024-10-28 21:15:00
MG0000844,LB000282,Pho thong,4975000,2024-11-24 23:30:00,2025-04-10 02:30:00
MG0000845,LB000282,Thuong gia,12383000,2024-11-19 23:30:00,2025-04-10 10:30:00
MG0000846,LB000282,Hang nhat,41257000,2025-01-06 23:30:00,2025-04-10 05:30:00
MG0000847,LB000283,Pho thong,1936000,2025-04-04 21:15:00,2025-07-04 08:15:00
MG0000848,LB000283,Thuong gia,5628000,2025-06-25 21:15:00,2025-07-04 01:15:00
MG0000849,LB000283,Hang nhat,31177000,2025-04-21 21:15:00,2025-07-04 05:15:00
MG0000850,LB000284,Pho thong,1221000,2025-04-03 02:45:00,2025-09-01 20:45:00
MG0000851,LB000284,Thuong gia,9404000,2025-03-15 02:45:00,2025-09-01 17:45:00
MG0000852,LB000284,Hang nhat,43860000,2025-08-16 02:45:00,2025-09-01 07:45:00
MG0000853,LB000285,Pho thong,1540000,2025-04-20 03:00:00,2025-07-30 21:00:00
MG0000854,LB000285,Thuong gia,11372000,2025-02-27 03:00:00,2025-07-30 03:00:00
MG0000855,LB000285,Hang nhat,38022000,2025-02-27 03:00:00,2025-07-30 04:00:00
MG0000856,LB000286,Pho thong,4783000,2024-02-29 18:15:00,2024-07-25 23:15:00
MG0000857,LB000286,Thuong gia,8885000,2024-03-19 18:15:00,2024-07-26 12:15:00
MG0000858,LB000286,Hang nhat,34067000,2024-06-30 18:15:00,2024-07-26 10:15:00
MG0000859,LB000287,Pho thong,2193000,2025-03-20 03:15:00,2025-03-28 02:15:00
MG0000860,LB000287,Thuong gia,7089000,2024-10-19 03:15:00,2025-03-27 22:15:00
MG0000861,LB000287,Hang nhat,10877000,2025-02-08 03:15:00,2025-03-28 01:15:00
MG0000862,LB000288,Pho thong,4355000,2025-01-04 14:00:00,2025-06-06 10:00:00
MG0000863,LB000288,Thuong gia,11454000,2025-03-02 14:00:00,2025-06-06 02:00:00
MG0000864,LB000288,Hang nhat,14041000,2024-12-16 14:00:00,2025-06-05 19:00:00
MG0000865,LB000289,Pho thong,4899000,2025-01-22 18:00:00,2025-04-12 13:00:00
MG0000866,LB000289,Thuong gia,6807000,2024-12-19 18:00:00,2025-04-11 21:00:00
MG0000867,LB000289,Hang nhat,36621000,2024-11-17 18:00:00,2025-04-12 10:00:00
MG0000868,LB000290,Pho thong,3883000,2024-09-25 23:00:00,2024-11-11 13:00:00
MG0000869,LB000290,Thuong gia,11746000,2024-08-25 23:00:00,2024-11-11 17:00:00
MG0000870,LB000290,Hang nhat,11295000,2024-06-15 23:00:00,2024-11-11 04:00:00
MG0000871,LB000291,Pho thong,1728000,2024-03-07 18:00:00,2024-08-10 22:00:00
MG0000872,LB000291,Thuong gia,4688000,2024-03-17 18:00:00,2024-08-11 02:00:00
MG0000873,LB000291,Hang nhat,49295000,2024-07-20 18:00:00,2024-08-11 06:00:00
MG0000874,LB000292,Pho thong,3614000,2024-01-21 17:00:00,2024-03-05 18:00:00
MG0000875,LB000292,Thuong gia,6183000,2023-12-09 17:00:00,2024-03-06 16:00:00
MG0000876,LB000292,Hang nhat,20266000,2023-12-31 17:00:00,2024-03-06 05:00:00
MG0000877,LB000293,Pho thong,2421000,2024-01-03 09:45:00,2024-02-02 07:45:00
MG0000878,LB000293,Thuong gia,8917000,2023-10-15 09:45:00,2024-02-01 19:45:00
MG0000879,LB000293,Hang nhat,25014000,2023-10-26 09:45:00,2024-02-01 15:45:00
MG0000880,LB000294,Pho thong,2695000,2025-06-20 13:30:00,2025-10-23 07:30:00
MG0000881,LB000294,Thuong gia,6825000,2025-10-12 13:30:00,2025-10-23 12:30:00
MG0000882,LB000294,Hang nhat,16804000,2025-09-24 13:30:00,2025-10-23 02:30:00
MG0000883,LB000295,Pho thong,1115000,2024-10-14 12:00:00,2025-01-20 12:00:00
MG0000884,LB000295,Thuong gia,14823000,2024-12-26 12:00:00,2025-01-20 16:00:00
MG0000885,LB000295,Hang nhat,47698000,2024-09-17 12:00:00,2025-01-20 22:00:00
MG0000886,LB000296,Pho thong,1025000,2024-11-07 03:15:00,2024-12-21 21:15:00
MG0000887,LB000296,Thuong gia,7911000,2024-09-26 03:15:00,2024-12-21 20:15:00
MG0000888,LB000296,Hang nhat,21261000,2024-07-31 03:15:00,2024-12-21 05:15:00
MG0000889,LB000297,Pho thong,2450000,2024-06-14 00:00:00,2024-08-15 22:00:00
MG0000890,LB000297,Thuong gia,3654000,2024-03-26 00:00:00,2024-08-15 19:00:00
MG0000891,LB000297,Hang nhat,21782000,2024-08-13 00:00:00,2024-08-15 21:00:00
MG0000892,LB000298,Pho thong,1207000,2025-01-20 13:45:00,2025-07-11 06:45:00
MG0000893,LB000298,Thuong gia,6502000,2025-05-17 13:45:00,2025-07-10 16:45:00
MG0000894,LB000298,Hang nhat,22334000,2025-06-18 13:45:00,2025-07-11 09:45:00
MG0000895,LB000299,Pho thong,4558000,2024-09-07 04:30:00,2024-12-19 12:30:00
MG0000896,LB000299,Thuong gia,9530000,2024-10-11 04:30:00,2024-12-19 07:30:00
MG0000897,LB000299,Hang nhat,24776000,2024-10-31 04:30:00,2024-12-19 15:30:00
MG0000898,LB000300,Pho thong,2647000,2025-07-13 13:00:00,2025-11-07 04:00:00
MG0000899,LB000300,Thuong gia,9771000,2025-08-29 13:00:00,2025-11-07 04:00:00
MG0000900,LB000300,Hang nhat,36726000,2025-09-27 13:00:00,2025-11-07 10:00:00
MG0000901,LB000301,Pho thong,1756000,2025-04-12 01:45:00,2025-08-30 06:45:00
MG0000902,LB000301,Thuong gia,8024000,2025-08-13 01:45:00,2025-08-30 08:45:00
MG0000903,LB000301,Hang nhat,45266000,2025-04-13 01:45:00,2025-08-30 06:45:00
MG0000904,LB000302,Pho thong,2458000,2023-10-14 12:45:00,2024-02-15 09:45:00
MG0000905,LB000302,Thuong gia,14391000,2024-02-04 12:45:00,2024-02-15 08:45:00
MG0000906,LB000302,Hang nhat,48887000,2023-10-21 12:45:00,2024-02-15 06:45:00
MG0000907,LB000303,Pho thong,2578000,2024-01-06 04:30:00,2024-02-27 02:30:00
MG0000908,LB000303,Thuong gia,14967000,2023-09-03 04:30:00,2024-02-26 21:30:00
MG0000909,LB000303,Hang nhat,20315000,2023-09-17 04:30:00,2024-02-26 08:30:00
MG0000910,LB000304,Pho thong,3137000,2025-08-15 21:30:00,2025-09-04 08:30:00
MG0000911,LB000304,Thuong gia,9236000,2025-04-13 21:30:00,2025-09-04 12:30:00
MG0000912,LB000304,Hang nhat,26578000,2025-08-29 21:30:00,2025-09-04 17:30:00
MG0000913,LB000305,Pho thong,3163000,2025-09-28 16:15:00,2025-11-07 12:15:00
MG0000914,LB000305,Thuong gia,13562000,2025-10-10 16:15:00,2025-11-06 22:15:00
MG0000915,LB000305,Hang nhat,36192000,2025-07-22 16:15:00,2025-11-07 03:15:00
MG0000916,LB000306,Pho thong,1523000,2025-02-25 18:15:00,2025-07-24 16:15:00
MG0000917,LB000306,Thuong gia,10304000,2025-04-09 18:15:00,2025-07-23 22:15:00
MG0000918,LB000306,Hang nhat,25832000,2025-01-25 18:15:00,2025-07-24 16:15:00
MG0000919,LB000307,Pho thong,3932000,2023-11-23 11:45:00,2024-02-18 09:45:00
MG0000920,LB000307,Thuong gia,7054000,2023-12-09 11:45:00,2024-02-18 10:45:00
MG0000921,LB000307,Hang nhat,43714000,2023-11-30 11:45:00,2024-02-18 02:45:00
MG0000922,LB000308,Pho thong,1364000,2024-09-05 13:15:00,2025-03-02 05:15:00
MG0000923,LB000308,Thuong gia,11746000,2024-11-06 13:15:00,2025-03-02 04:15:00
MG0000924,LB000308,Hang nhat,27669000,2024-09-26 13:15:00,2025-03-02 06:15:00
MG0000925,LB000309,Pho thong,4442000,2025-03-19 15:15:00,2025-07-03 22:15:00
MG0000926,LB000309,Thuong gia,6733000,2025-06-17 15:15:00,2025-07-04 12:15:00
MG0000927,LB000309,Hang nhat,41221000,2025-02-22 15:15:00,2025-07-04 10:15:00
MG0000928,LB000310,Pho thong,1610000,2025-08-10 04:45:00,2025-12-24 22:45:00
MG0000929,LB000310,Thuong gia,3397000,2025-11-01 04:45:00,2025-12-24 20:45:00
MG0000930,LB000310,Hang nhat,17964000,2025-12-10 04:45:00,2025-12-24 05:45:00
MG0000931,LB000311,Pho thong,2467000,2025-04-18 16:15:00,2025-07-23 23:15:00
MG0000932,LB000311,Thuong gia,7470000,2025-06-20 16:15:00,2025-07-24 08:15:00
MG0000933,LB000311,Hang nhat,48421000,2025-02-19 16:15:00,2025-07-24 10:15:00
MG0000934,LB000312,Pho thong,1487000,2024-08-02 20:00:00,2024-12-04 08:00:00
MG0000935,LB000312,Thuong gia,3329000,2024-09-26 20:00:00,2024-12-04 10:00:00
MG0000936,LB000312,Hang nhat,41193000,2024-11-19 20:00:00,2024-12-04 01:00:00
MG0000937,LB000313,Pho thong,1745000,2024-05-18 01:30:00,2024-07-13 04:30:00
MG0000938,LB000313,Thuong gia,7914000,2024-05-20 01:30:00,2024-07-13 04:30:00
MG0000939,LB000313,Hang nhat,46461000,2024-07-06 01:30:00,2024-07-13 09:30:00
MG0000940,LB000314,Pho thong,4164000,2023-09-29 06:15:00,2024-03-14 10:15:00
MG0000941,LB000314,Thuong gia,12661000,2024-01-15 06:15:00,2024-03-14 10:15:00
MG0000942,LB000314,Hang nhat,45819000,2023-12-25 06:15:00,2024-03-14 16:15:00
MG0000943,LB000315,Pho thong,1716000,2024-09-05 09:00:00,2024-12-06 00:00:00
MG0000944,LB000315,Thuong gia,4228000,2024-09-17 09:00:00,2024-12-05 14:00:00
MG0000945,LB000315,Hang nhat,35894000,2024-07-26 09:00:00,2024-12-05 15:00:00
MG0000946,LB000316,Pho thong,3675000,2023-11-24 23:45:00,2024-04-30 13:45:00
MG0000947,LB000316,Thuong gia,14860000,2023-12-26 23:45:00,2024-04-30 12:45:00
MG0000948,LB000316,Hang nhat,20446000,2023-11-16 23:45:00,2024-04-30 14:45:00
MG0000949,LB000317,Pho thong,1430000,2024-08-25 07:30:00,2025-02-10 00:30:00
MG0000950,LB000317,Thuong gia,7849000,2024-12-08 07:30:00,2025-02-09 11:30:00
MG0000951,LB000317,Hang nhat,11018000,2024-11-18 07:30:00,2025-02-09 07:30:00
MG0000952,LB000318,Pho thong,4609000,2025-02-20 20:30:00,2025-06-30 11:30:00
MG0000953,LB000318,Thuong gia,3424000,2025-03-16 20:30:00,2025-06-29 20:30:00
MG0000954,LB000318,Hang nhat,39062000,2025-02-01 20:30:00,2025-06-30 09:30:00
MG0000955,LB000319,Pho thong,2306000,2025-03-26 14:00:00,2025-05-23 16:00:00
MG0000956,LB000319,Thuong gia,13518000,2025-03-06 14:00:00,2025-05-23 16:00:00
MG0000957,LB000319,Hang nhat,28831000,2025-04-05 14:00:00,2025-05-24 10:00:00
MG0000958,LB000320,Pho thong,4578000,2024-09-15 06:30:00,2024-11-22 08:30:00
MG0000959,LB000320,Thuong gia,7263000,2024-06-06 06:30:00,2024-11-22 22:30:00
MG0000960,LB000320,Hang nhat,24867000,2024-09-03 06:30:00,2024-11-22 19:30:00
MG0000961,LB000321,Pho thong,4375000,2024-03-15 23:15:00,2024-08-14 08:15:00
MG0000962,LB000321,Thuong gia,10003000,2024-04-13 23:15:00,2024-08-14 02:15:00
MG0000963,LB000321,Hang nhat,45577000,2024-03-06 23:15:00,2024-08-14 07:15:00
MG0000964,LB000322,Pho thong,2403000,2025-04-07 23:45:00,2025-08-16 01:45:00
MG0000965,LB000322,Thuong gia,13450000,2025-05-29 23:45:00,2025-08-16 21:45:00
MG0000966,LB000322,Hang nhat,23707000,2025-07-06 23:45:00,2025-08-16 16:45:00
MG0000967,LB000323,Pho thong,2129000,2024-03-28 12:15:00,2024-08-23 07:15:00
MG0000968,LB000323,Thuong gia,6992000,2024-07-05 12:15:00,2024-08-22 20:15:00
MG0000969,LB000323,Hang nhat,12321000,2024-07-06 12:15:00,2024-08-22 15:15:00
MG0000970,LB000324,Pho thong,3997000,2024-08-15 08:45:00,2024-12-11 01:45:00
MG0000971,LB000324,Thuong gia,12423000,2024-10-26 08:45:00,2024-12-10 16:45:00
MG0000972,LB000324,Hang nhat,27348000,2024-11-16 08:45:00,2024-12-10 12:45:00
MG0000973,LB000325,Pho thong,4854000,2024-09-05 05:15:00,2024-12-25 15:15:00
MG0000974,LB000325,Thuong gia,9405000,2024-09-16 05:15:00,2024-12-26 03:15:00
MG0000975,LB000325,Hang nhat,40274000,2024-09-19 05:15:00,2024-12-25 18:15:00
MG0000976,LB000326,Pho thong,3642000,2025-02-21 20:00:00,2025-07-09 19:00:00
MG0000977,LB000326,Thuong gia,11322000,2025-01-27 20:00:00,2025-07-09 12:00:00
MG0000978,LB000326,Hang nhat,14108000,2025-04-09 20:00:00,2025-07-09 15:00:00
MG0000979,LB000327,Pho thong,1074000,2023-11-07 21:00:00,2024-03-17 15:00:00
MG0000980,LB000327,Thuong gia,8471000,2024-03-03 21:00:00,2024-03-17 11:00:00
MG0000981,LB000327,Hang nhat,45519000,2023-11-02 21:00:00,2024-03-17 07:00:00
MG0000982,LB000328,Pho thong,2309000,2025-08-31 07:00:00,2025-10-06 15:00:00
MG0000983,LB000328,Thuong gia,3229000,2025-08-17 07:00:00,2025-10-06 18:00:00
MG0000984,LB000328,Hang nhat,39363000,2025-08-08 07:00:00,2025-10-07 00:00:00
MG0000985,LB000329,Pho thong,2340000,2024-12-30 14:30:00,2025-06-01 10:30:00
MG0000986,LB000329,Thuong gia,13519000,2024-12-14 14:30:00,2025-06-01 01:30:00
MG0000987,LB000329,Hang nhat,49787000,2025-03-25 14:30:00,2025-05-31 18:30:00
MG0000988,LB000330,Pho thong,4312000,2025-04-04 15:45:00,2025-09-22 18:45:00
MG0000989,LB000330,Thuong gia,8332000,2025-09-08 15:45:00,2025-09-23 01:45:00
MG0000990,LB000330,Hang nhat,38075000,2025-08-20 15:45:00,2025-09-22 23:45:00
MG0000991,LB000331,Pho thong,2568000,2025-01-01 00:00:00,2025-02-24 14:00:00
MG0000992,LB000331,Thuong gia,10268000,2025-01-28 00:00:00,2025-02-24 04:00:00
MG0000993,LB000331,Hang nhat,30463000,2025-01-18 00:00:00,2025-02-24 20:00:00
MG0000994,LB000332,Pho thong,1279000,2023-08-10 16:45:00,2024-01-18 06:45:00
MG0000995,LB000332,Thuong gia,10308000,2023-12-19 16:45:00,2024-01-18 09:45:00
MG0000996,LB000332,Hang nhat,38137000,2023-11-09 16:45:00,2024-01-18 04:45:00
MG0000997,LB000333,Pho thong,3102000,2024-01-21 16:15:00,2024-04-08 14:15:00
MG0000998,LB000333,Thuong gia,5814000,2024-02-12 16:15:00,2024-04-08 05:15:00
MG0000999,LB000333,Hang nhat,43409000,2024-04-02 16:15:00,2024-04-08 12:15:00
MG0001000,LB000334,Pho thong,4788000,2024-03-25 11:30:00,2024-09-15 06:30:00
MG0001001,LB000334,Thuong gia,11683000,2024-05-05 11:30:00,2024-09-14 11:30:00
MG0001002,LB000334,Hang nhat,49547000,2024-07-09 11:30:00,2024-09-14 20:30:00
MG0001003,LB000335,Pho thong,1010000,2024-12-03 14:15:00,2025-02-18 23:15:00
MG0001004,LB000335,Thuong gia,7323000,2025-01-03 14:15:00,2025-02-19 04:15:00
MG0001005,LB000335,Hang nhat,39542000,2024-08-27 14:15:00,2025-02-19 00:15:00
MG0001006,LB000336,Pho thong,4378000,2024-02-25 20:00:00,2024-03-23 19:00:00
MG0001007,LB000336,Thuong gia,7290000,2023-10-03 20:00:00,2024-03-23 09:00:00
MG0001008,LB000336,Hang nhat,13718000,2023-11-29 20:00:00,2024-03-22 20:00:00
MG0001009,LB000337,Pho thong,2483000,2025-04-20 15:00:00,2025-07-19 11:00:00
MG0001010,LB000337,Thuong gia,11279000,2025-03-22 15:00:00,2025-07-19 02:00:00
MG0001011,LB000337,Hang nhat,45445000,2025-03-16 15:00:00,2025-07-18 18:00:00
MG0001012,LB000338,Pho thong,3724000,2024-02-09 15:45:00,2024-03-25 10:45:00
MG0001013,LB000338,Thuong gia,7992000,2024-03-07 15:45:00,2024-03-25 11:45:00
MG0001014,LB000338,Hang nhat,37136000,2023-10-23 15:45:00,2024-03-24 20:45:00
MG0001015,LB000339,Pho thong,3368000,2024-02-18 16:00:00,2024-04-07 04:00:00
MG0001016,LB000339,Thuong gia,14045000,2023-10-12 16:00:00,2024-04-07 00:00:00
MG0001017,LB000339,Hang nhat,11839000,2024-03-07 16:00:00,2024-04-07 01:00:00
MG0001018,LB000340,Pho thong,3759000,2025-10-01 18:45:00,2025-12-09 17:45:00
MG0001019,LB000340,Thuong gia,13478000,2025-06-16 18:45:00,2025-12-08 20:45:00
MG0001020,LB000340,Hang nhat,36469000,2025-07-27 18:45:00,2025-12-09 04:45:00
MG0001021,LB000341,Pho thong,3588000,2025-09-26 08:00:00,2025-11-30 20:00:00
MG0001022,LB000341,Thuong gia,13068000,2025-06-17 08:00:00,2025-12-01 03:00:00
MG0001023,LB000341,Hang nhat,35736000,2025-07-09 08:00:00,2025-12-01 07:00:00
MG0001024,LB000342,Pho thong,4452000,2025-07-12 04:45:00,2025-08-23 12:45:00
MG0001025,LB000342,Thuong gia,5891000,2025-08-02 04:45:00,2025-08-23 17:45:00
MG0001026,LB000342,Hang nhat,18908000,2025-06-11 04:45:00,2025-08-23 11:45:00
MG0001027,LB000343,Pho thong,4232000,2024-03-20 18:45:00,2024-09-03 05:45:00
MG0001028,LB000343,Thuong gia,12615000,2024-08-11 18:45:00,2024-09-03 03:45:00
MG0001029,LB000343,Hang nhat,27883000,2024-05-09 18:45:00,2024-09-03 02:45:00
MG0001030,LB000344,Pho thong,3544000,2024-04-20 22:00:00,2024-05-22 22:00:00
MG0001031,LB000344,Thuong gia,3430000,2024-04-24 22:00:00,2024-05-23 08:00:00
MG0001032,LB000344,Hang nhat,41671000,2024-01-01 22:00:00,2024-05-23 19:00:00
MG0001033,LB000345,Pho thong,3162000,2024-10-13 07:00:00,2025-03-22 14:00:00
MG0001034,LB000345,Thuong gia,7360000,2024-10-04 07:00:00,2025-03-22 20:00:00
MG0001035,LB000345,Hang nhat,23279000,2025-03-07 07:00:00,2025-03-22 16:00:00
MG0001036,LB000346,Pho thong,3560000,2025-03-24 12:30:00,2025-08-31 13:30:00
MG0001037,LB000346,Thuong gia,12112000,2025-05-06 12:30:00,2025-09-01 08:30:00
MG0001038,LB000346,Hang nhat,24206000,2025-07-04 12:30:00,2025-09-01 01:30:00
MG0001039,LB000347,Pho thong,2992000,2024-12-03 07:30:00,2025-05-16 13:30:00
